설정항목,선택값,원본파일
시험종목,AI번역,수집된DB/대표 DB-시험정보.csv
시험종목,프롬프트,수집된DB/대표 DB-시험정보.csv
시험종목,ITT 시험,수집된DB/대표 DB-시험정보.csv
시험종목,윤리시험,수집된DB/대표 DB-시험정보.csv
시험종목,테솔,수집된DB/대표 DB-시험정보.csv
교육급수,교육급수 1급,수집된DB/대표 DB-시험정보.csv
교육급수,교육급수 2급,수집된DB/대표 DB-시험정보.csv
교육급수,교육급수 3급,수집된DB/대표 DB-시험정보.csv
교육급수,교육급수 4급,수집된DB/대표 DB-시험정보.csv
교육급수,교육급수 5급,수집된DB/대표 DB-시험정보.csv
교육급수,교육급수 7급,수집된DB/대표 DB-시험정보.csv
교육급수,교육급수 6급,수집된DB/대표 DB-시험정보.csv
교육급수,교육급수 8급,수집된DB/대표 DB-시험정보.csv
교시,1교시 객관,수집된DB/대표 DB-시험정보.csv
교시,2교시 주관,수집된DB/대표 DB-시험정보.csv
교시,3교시 윤리,수집된DB/대표 DB-시험정보.csv
교시,4교시는 특수전문가 별도시험,수집된DB/대표 DB-시험정보.csv
권한설정,응시자,수집된DB/대표 DB-시험정보.csv
권한설정,전문가= 출제자,수집된DB/대표 DB-시험정보.csv
권한설정,관리자,수집된DB/대표 DB-시험정보.csv
금액,"4,000",수집된DB/대표 DB-시험정보.csv
금액,"5,000",수집된DB/대표 DB-시험정보.csv
금액,"2,000",수집된DB/대표 DB-시험정보.csv
금액,4000,수집된DB/대표 DB-시험정보.csv
등급분류,전문 1급,수집된DB/대표 DB-시험정보.csv
등급분류,전문 2급,수집된DB/대표 DB-시험정보.csv
등급분류,일반 1급,수집된DB/대표 DB-시험정보.csv
등급분류,일반 2급,수집된DB/대표 DB-시험정보.csv
등급분류,일반 3급,수집된DB/대표 DB-시험정보.csv
사용에디터선택,에디터,수집된DB/대표 DB-시험정보.csv
사용에디터선택,영상 에디터,수집된DB/대표 DB-시험정보.csv
사용에디터선택,코딩 에디터,수집된DB/대표 DB-시험정보.csv
사용에디터선택,번역 에디터,수집된DB/대표 DB-시험정보.csv
사용에디터선택,문서 에디터,수집된DB/대표 DB-시험정보.csv
사용에디터선택,타사: 멤소스,수집된DB/대표 DB-시험정보.csv
사용에디터선택,프롬프트 에디터,수집된DB/대표 DB-시험정보.csv
사용자,사이트 구분,수집된DB/대표 DB-시험정보.csv
사용자,개인/ 그룹,수집된DB/대표 DB-시험정보.csv
사용자,회원유형,수집된DB/대표 DB-시험정보.csv
시험명-대,문서,수집된DB/대표 DB-시험정보.csv
시험명-대,영상,수집된DB/대표 DB-시험정보.csv
시험명-대,유투브,수집된DB/대표 DB-시험정보.csv
시험명-대,다큐멘터리,수집된DB/대표 DB-시험정보.csv
시험명-대,예능,수집된DB/대표 DB-시험정보.csv
시험명-소,별도,수집된DB/대표 DB-시험정보.csv
시험명-중,별도,수집된DB/대표 DB-시험정보.csv
윤리시험공통,성인,수집된DB/대표 DB-시험정보.csv
윤리시험공통,고등학생,수집된DB/대표 DB-시험정보.csv
윤리시험공통,초증학생,수집된DB/대표 DB-시험정보.csv
응시생,개인/그룹,수집된DB/대표 DB-시험정보.csv
응시생,시간,수집된DB/대표 DB-시험정보.csv
응시생,언어,수집된DB/대표 DB-시험정보.csv
응시생,교시,수집된DB/대표 DB-시험정보.csv
응시생,시험명/ 종목,수집된DB/대표 DB-시험정보.csv
응시생,대중소,수집된DB/대표 DB-시험정보.csv
자격증 종류,자격증,수집된DB/대표 DB-시험정보.csv
자격증 종류,카드 자격증,수집된DB/대표 DB-시험정보.csv
자격증 종류,확인서,수집된DB/대표 DB-시험정보.csv
자격증 종류,원본대조필,수집된DB/대표 DB-시험정보.csv
자격증 종류,봉사확인서,수집된DB/대표 DB-시험정보.csv
자격증 종류,우편발송비,수집된DB/대표 DB-시험정보.csv
지역,서울,수집된DB/대표 DB-시험정보.csv
지역,부산,수집된DB/대표 DB-시험정보.csv
지역,대구,수집된DB/대표 DB-시험정보.csv
지역,미국,수집된DB/대표 DB-시험정보.csv
지역,캐나다,수집된DB/대표 DB-시험정보.csv
지역,남미,수집된DB/대표 DB-시험정보.csv
지역,아프리카,수집된DB/대표 DB-시험정보.csv
지역,그외-직접작성,수집된DB/대표 DB-시험정보.csv
지역,유럽,수집된DB/대표 DB-시험정보.csv
출제 목적,응시용,수집된DB/대표 DB-시험정보.csv
출제 목적,모의 시험,수집된DB/대표 DB-시험정보.csv
출제 목적,시험전,수집된DB/대표 DB-시험정보.csv
출제 목적,연습용,수집된DB/대표 DB-시험정보.csv
출제 목적,설문,수집된DB/대표 DB-시험정보.csv
