영역,항목명,내용,원본파일
(번역 별도),번역 관리 번호,시험명,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,텍스트,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,활동 횟수,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,1,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,30,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,2,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,채점은 시험 당 휴먼 채점 횟수,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,요청 파일 (업로드),수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,필수 여부,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,필수,수집된DB/통합사본.csv
(번역 별도),번역 관리 번호,선택,수집된DB/통합사본.csv
(시험 별도),시험 관리 번호,XX241010 001,수집된DB/통합사본.csv
(시험 별도),시험 관리 번호,시험 응시자에 따른 관리 번호,수집된DB/통합사본.csv
(시험 별도),시험 관리 번호,서비스 유형,수집된DB/통합사본.csv
(시험 별도),시험 관리 번호,계좌번호,수집된DB/통합사본.csv
(시험 별도),시험 관리 번호,좌측메뉴,수집된DB/통합사본.csv
(시험 별도),시험 관리 번호,전문가매칭/견적내기/...,수집된DB/통합사본.csv
(시험 별도),시험 관리 번호,견적내기/...,수집된DB/통합사본.csv
(시험 출제 별도),출제 상태,출제 전,수집된DB/통합사본.csv
(시험 출제 별도),출제 상태,출제 중,수집된DB/통합사본.csv
(시험 출제 별도),출제 상태,출제 완료,수집된DB/통합사본.csv
(시험 출제 별도),출제 상태,승인 완료,수집된DB/통합사본.csv
(시험 출제 별도),출제 상태,저장(출제 중),수집된DB/통합사본.csv
(시험 출제 별도),출제 상태,"관리자 최종 승인 후 시험 시작 가능, 출제 화면에서 저장 클릭 시 상태값 출제 중, 출제 클릭 시 출제 완료로 상태값 변경",수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,견적서 관리번호,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,견적서관리,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,가산 금액,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,50000,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,10000,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,"-10,000",수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,관리시 주의 사항 : 미지급할 금액은 가산금액에서 - 처리 해야 함,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,문서,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,해당 문제 제목+날짜+세자리,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,관리자 권한 (개발 완료 전 확정 필요),수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,마스터,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,최고 관리자,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,메타 번역 관리자,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,정산 관리자,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,시험 관리자,수집된DB/통합사본.csv
(에디터 별도),에디터 관리 번호,통독 일반 관리자,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),번역,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),인사,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),변호,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),회계,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),영업,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),매칭(제작),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),매칭(단순편집),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),매칭(출제),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),매칭(채점),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),매칭(채점피드백),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),판매,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),시험,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),기업(단체),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),카테고리가 홈피에 따라 분류할수있도록,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),서비스 유형별,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),통계(개발 완료 전 확정 필요),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),AI(텍스트),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),AI(영상),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),AI(이미지),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),AI(음악),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),번역기,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),휴텍씨 에디터,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),개발테스트,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),양식 에디터,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),멤소스 에디터,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),매칭(감수),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),영상 편집 에디터,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),매칭(작성),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),저서명,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),카테고리 (중),수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),YY.MM.DD,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),사용처,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),문서 양식 작성한 날짜 기준,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),게시 시작일,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),텍스트,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),STS-동시통역,수집된DB/통합사본.csv
결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),3건(2건),수집된DB/통합사본.csv
시험 양식,양식 관리 번호,XX241010 001,수집된DB/통합사본.csv
시험정보,시험 관리 번호,환불은행,수집된DB/통합사본.csv
시험정보,시험 관리 번호,카카오뱅크,수집된DB/통합사본.csv
시험정보,시험 관리 번호,신한은행,수집된DB/통합사본.csv
시험정보,시험 관리 번호,기업은행,수집된DB/통합사본.csv
시험정보,시험 관리 번호,우리은행,수집된DB/통합사본.csv
시험정보,시험 관리 번호,판매 금액,수집된DB/통합사본.csv
시험정보,시험 관리 번호,무료,수집된DB/통합사본.csv
시험정보,시험 관리 번호,"5,000",수집된DB/통합사본.csv
시험정보,시험 관리 번호,"100,000",수집된DB/통합사본.csv
시험정보,시험 관리 번호,"10,000",수집된DB/통합사본.csv
시험정보,시험 관리 번호,에디터 문장별 기능,수집된DB/통합사본.csv
시험정보,시험 관리 번호,문장 선택,수집된DB/통합사본.csv
시험정보,시험 관리 번호,웹 검색,수집된DB/통합사본.csv
시험정보,시험 관리 번호,문장 삭제,수집된DB/통합사본.csv
시험정보,시험 관리 번호,문장 추가,수집된DB/통합사본.csv
자격증,자격증,신청,수집된DB/통합사본.csv
자격증,자격증,취소,수집된DB/통합사본.csv
자격증,자격증,미신청,수집된DB/통합사본.csv
자격증,자격증,? 환불은 아니죠,수집된DB/통합사본.csv
자격증,자격증,개발자 확인 : 화면 기획 시 구체적으로 정리될 예정,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,XX241010 001,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,서비스 단위,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,글자수,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,시간당,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,장당,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,직위,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,정산 후 잔액,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,FAQ,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,FAQ 관리 번호,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,XX001,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,이게 내용인가요 ? 왜 번호가 / 공통과 일반으로,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,영상,수집된DB/통합사본.csv
회원 활동 정보,회원 번호,3건(2건),수집된DB/통합사본.csv
회원정보,회원 번호,XX241010 001,수집된DB/통합사본.csv
회원정보,회원 번호,결제 기준 번호,수집된DB/통합사본.csv
회원정보,회원 번호,결제 기준 관리(개발 완료 전 확정 필요),수집된DB/통합사본.csv
회원정보,회원 번호,XX001,수집된DB/통합사본.csv
회원정보,회원 번호,전문가 관리 번호,수집된DB/통합사본.csv
회원정보,회원 번호,전문가 정보,수집된DB/통합사본.csv
회원정보,회원 번호,모든 관리번호는 2줄로,수집된DB/통합사본.csv
회원정보,회원 번호,(매칭 별도),수집된DB/통합사본.csv
회원정보,회원 번호,매칭 관리 번호,수집된DB/통합사본.csv
회원정보,회원 번호,상태,수집된DB/통합사본.csv
회원정보,회원 번호,문의 요청,수집된DB/통합사본.csv
회원정보,회원 번호,답변 중,수집된DB/통합사본.csv
회원정보,회원 번호,답변 완료,수집된DB/통합사본.csv
회원정보,회원 번호,"DPF ,이미지, PPT, 전문문서, 법률문서, 의학문서, 고전문서,",수집된DB/통합사본.csv
회원정보,회원 번호,"예능, 드라마, 다큐, 영화, 가요, 인터뷰, 녹화 파일, 강의 컨탠츠",수집된DB/통합사본.csv
회원정보,회원 번호,"아나운서, 사내방송, 회사소개, 전시장,",수집된DB/통합사본.csv
회원정보,회원 번호,"관광가이드, 전문통역, 비밀통역, 관광지통역, 유적지통역, 컨퍼런스, 인터뷰",수집된DB/통합사본.csv
회원정보,회원 번호,"텍스트, 이미지,",수집된DB/통합사본.csv
